method,feature,target,correlation,n
pearson,leadTwo_yRel__std,reaction_smoothness_score,,31
pearson,leadTwo_yRel__std,steering_smoothness_score,0.04225986503602855,31
pearson,leadTwo_yRel__std,longitudinal_smoothness_score,-0.103655250354467,31
pearson,leadTwo_yRel__std,lateral_stability_score,0.05737925883109128,31
pearson,model_desiredCurvature__mean,reaction_smoothness_score,,25
pearson,model_desiredCurvature__mean,steering_smoothness_score,-0.05904948097703333,25
pearson,model_desiredCurvature__mean,longitudinal_smoothness_score,-0.04994652139257767,25
pearson,model_desiredCurvature__mean,lateral_stability_score,0.02530849297577531,25
pearson,model_desiredCurvature__max,reaction_smoothness_score,,25
pearson,model_desiredCurvature__max,steering_smoothness_score,-0.350240125054585,25
pearson,model_desiredCurvature__max,longitudinal_smoothness_score,0.08712529157566738,25
pearson,model_desiredCurvature__max,lateral_stability_score,-0.024765221547064394,25
pearson,model_desiredCurvature__std,reaction_smoothness_score,,25
pearson,model_desiredCurvature__std,steering_smoothness_score,-0.7397700443944131,25
pearson,model_desiredCurvature__std,longitudinal_smoothness_score,0.24500260068976618,25
pearson,model_desiredCurvature__std,lateral_stability_score,-0.10399047751719029,25
pearson,laneLeft_prob__mean,reaction_smoothness_score,,25
pearson,laneLeft_prob__mean,steering_smoothness_score,-0.07925001369377957,25
pearson,laneLeft_prob__mean,longitudinal_smoothness_score,-0.02621771474839117,25
pearson,laneLeft_prob__mean,lateral_stability_score,-0.014837650303723289,25
pearson,laneLeft_prob__max,reaction_smoothness_score,,25
pearson,laneLeft_prob__max,steering_smoothness_score,0.015970507039981506,25
pearson,laneLeft_prob__max,longitudinal_smoothness_score,-0.06600644074613018,25
pearson,laneLeft_prob__max,lateral_stability_score,0.0014083033274364097,25
pearson,laneLeft_prob__std,reaction_smoothness_score,,25
pearson,laneLeft_prob__std,steering_smoothness_score,0.24551711174566307,25
pearson,laneLeft_prob__std,longitudinal_smoothness_score,0.030514862983807477,25
pearson,laneLeft_prob__std,lateral_stability_score,0.10770918575481032,25
pearson,laneRight_prob__mean,reaction_smoothness_score,,25
pearson,laneRight_prob__mean,steering_smoothness_score,-0.14550708269724227,25
pearson,laneRight_prob__mean,longitudinal_smoothness_score,-0.28814966636392103,25
pearson,laneRight_prob__mean,lateral_stability_score,-0.28146877315176944,25
pearson,laneRight_prob__max,reaction_smoothness_score,,25
pearson,laneRight_prob__max,steering_smoothness_score,-0.09302163387047568,25
pearson,laneRight_prob__max,longitudinal_smoothness_score,-0.1679906072758527,25
pearson,laneRight_prob__max,lateral_stability_score,-0.12480575302596462,25
pearson,laneRight_prob__std,reaction_smoothness_score,,25
pearson,laneRight_prob__std,steering_smoothness_score,0.040473268203887525,25
pearson,laneRight_prob__std,longitudinal_smoothness_score,0.30001852161212356,25
pearson,laneRight_prob__std,lateral_stability_score,0.2706129524219954,25
pearson,laneLeft_y__mean,reaction_smoothness_score,,25
pearson,laneLeft_y__mean,steering_smoothness_score,-0.07929620192607012,25
pearson,laneLeft_y__mean,longitudinal_smoothness_score,0.08130391390621378,25
pearson,laneLeft_y__mean,lateral_stability_score,-0.14754386636086017,25
pearson,laneLeft_y__max,reaction_smoothness_score,,25
pearson,laneLeft_y__max,steering_smoothness_score,-0.4172894175420208,25
pearson,laneLeft_y__max,longitudinal_smoothness_score,0.30162575840889905,25
pearson,laneLeft_y__max,lateral_stability_score,-0.1626907971728667,25
pearson,laneLeft_y__std,reaction_smoothness_score,,25
pearson,laneLeft_y__std,steering_smoothness_score,-0.26736221895983103,25
pearson,laneLeft_y__std,longitudinal_smoothness_score,0.2175183436210676,25
pearson,laneLeft_y__std,lateral_stability_score,0.05207539667206565,25
pearson,laneRight_y__mean,reaction_smoothness_score,,25
pearson,laneRight_y__mean,steering_smoothness_score,0.15973893723556987,25
pearson,laneRight_y__mean,longitudinal_smoothness_score,-0.05716661677898506,25
pearson,laneRight_y__mean,lateral_stability_score,-0.059528117495503075,25
pearson,laneRight_y__max,reaction_smoothness_score,,25
pearson,laneRight_y__max,steering_smoothness_score,-0.011429199113423489,25
pearson,laneRight_y__max,longitudinal_smoothness_score,0.21735721659459784,25
pearson,laneRight_y__max,lateral_stability_score,0.08926371448774291,25
pearson,laneRight_y__std,reaction_smoothness_score,,25
pearson,laneRight_y__std,steering_smoothness_score,-0.19031452535780954,25
pearson,laneRight_y__std,longitudinal_smoothness_score,0.26651594435394793,25
pearson,laneRight_y__std,lateral_stability_score,0.06953926391381379,25
pearson,hasLead__mean,reaction_smoothness_score,,31
pearson,hasLead__mean,steering_smoothness_score,0.09474550194483662,31
pearson,hasLead__mean,longitudinal_smoothness_score,-0.1294311990019015,31
pearson,hasLead__mean,lateral_stability_score,0.08735954794917211,31
pearson,hasLead__max,reaction_smoothness_score,,31
pearson,hasLead__max,steering_smoothness_score,-0.008249218253420456,31
pearson,hasLead__max,longitudinal_smoothness_score,-0.11080360907285798,31
pearson,hasLead__max,lateral_stability_score,0.10500095446670105,31
pearson,hasLead__std,reaction_smoothness_score,,31
pearson,hasLead__std,steering_smoothness_score,-0.4581355095771036,31
pearson,hasLead__std,longitudinal_smoothness_score,0.13557482792085918,31
pearson,hasLead__std,lateral_stability_score,0.08652535059528532,31
pearson,shouldStop__mean,reaction_smoothness_score,,31
pearson,shouldStop__mean,steering_smoothness_score,,31
pearson,shouldStop__mean,longitudinal_smoothness_score,,31
pearson,shouldStop__mean,lateral_stability_score,,31
pearson,shouldStop__max,reaction_smoothness_score,,31
pearson,shouldStop__max,steering_smoothness_score,,31
pearson,shouldStop__max,longitudinal_smoothness_score,,31
pearson,shouldStop__max,lateral_stability_score,,31
pearson,shouldStop__std,reaction_smoothness_score,,31
pearson,shouldStop__std,steering_smoothness_score,,31
pearson,shouldStop__std,longitudinal_smoothness_score,,31
pearson,shouldStop__std,lateral_stability_score,,31
pearson,fcw__mean,reaction_smoothness_score,,31
pearson,fcw__mean,steering_smoothness_score,,31
pearson,fcw__mean,longitudinal_smoothness_score,,31
pearson,fcw__mean,lateral_stability_score,,31
